City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
290,Russell,US,2020-02-23 01:00:34,32.35,-85.2,48.2,45,1,1.57
291,Muisne,EC,2020-02-23 00:52:54,0.6,-80.03,78.39,87,93,6.76
292,Aasiaat,GL,2020-02-23 01:02:05,68.71,-52.87,-6.95,99,100,9.4
293,Bay Roberts,CA,2020-02-23 01:02:05,47.6,-53.26,26.01,71,100,11.88
294,Nome,US,2020-02-23 00:52:12,64.5,-165.41,-5.8,83,1,3.09
295,Cheyenne,US,2020-02-23 01:00:01,41.14,-104.82,51.01,28,1,9.6
296,Korampallam,IN,2020-02-23 01:02:06,8.77,78.1,75.2,88,40,9.26
297,Griffith,US,2020-02-23 01:02:06,41.53,-87.42,44.6,60,1,11.41
298,Shumskiy,RU,2020-02-23 01:02:07,54.83,99.13,9.7,91,95,2.21
299,Nohar,IN,2020-02-23 01:02:07,29.18,74.77,61.56,70,19,5.59
300,Antalaha,MG,2020-02-23 01:02:07,-14.9,50.28,80.53,80,100,7.56
301,Ketchikan,US,2020-02-23 01:02:08,55.34,-131.65,41.0,80,75,16.11
302,Vyshchetarasivka,UA,2020-02-23 01:02:08,47.57,34.88,33.8,89,75,4.47
303,Villablino,ES,2020-02-23 01:02:08,42.94,-6.32,48.0,38,2,3.36
