,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Santa Cruz Cabralia,BR,78.8,shower rain,-16.28,-39.02,Baia Cabrália Hotel
357,Kiama,AU,72.0,clear sky,-34.68,150.87,The Sebel Kiama Harbourside
360,Sidney,AU,71.6,broken clouds,-33.87,151.21,QT Sydney
362,Maketu,NZ,68.0,clear sky,-37.77,176.45,Maketu Beach Holiday Park
364,Acarau,BR,78.28,clear sky,-2.89,-40.12,castelo pizzaria
367,Mount Gambier,AU,57.2,overcast clouds,-37.83,140.77,Best Western Southgate Motel
368,Iranshahr,IR,64.4,clear sky,27.2,60.68,کافی نت دانشگاه
371,Port Moresby,PG,77.0,broken clouds,-9.44,147.18,Lamana Hotel
372,San Pedro,PH,77.0,few clouds,14.35,121.02,The Viewfort Venue
373,Vao,NC,78.08,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
374,Najran,SA,71.6,overcast clouds,17.49,44.13,محمد هادي ال فطيح
375,Villanueva De La Serena,ES,53.2,clear sky,38.98,-5.8,Hotel Veracruz
376,Coihaique,CL,62.6,scattered clouds,-45.58,-72.07,Diego De Almagro Coyhaique
379,Isabela,PH,75.2,few clouds,6.71,121.97,Isawad Resort
380,Dullewala,PK,63.27,broken clouds,31.84,71.44,Hameed Hotel
381,Sentyabrskiy,PK,63.27,broken clouds,31.84,71.44,Hameed Hotel
383,Biltine,TD,69.49,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
384,Alibag,IN,78.8,smoke,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
388,Ischia,IT,57.0,scattered clouds,40.73,13.95,Hotel Ulisse
391,Warwick,US,53.6,few clouds,41.7,-71.42,Hampton Inn & Suites Providence/Warwick-Airport
392,Kuryk,KZ,46.67,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
393,Odweyne,SO,67.51,scattered clouds,9.41,45.06,Eng Hiirey House
396,Kingaroy,AU,66.2,overcast clouds,-26.53,151.83,Ascot Motel Kingaroy
397,Laguna,US,66.2,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
399,Fort-Shevchenko,KZ,40.64,overcast clouds,44.51,50.26,Oasis hotel Bautino
400,Bontang,ID,79.65,broken clouds,0.13,117.5,Okra Leaf Guest House Syariah
405,Tateyama,JP,42.8,few clouds,34.98,139.87,Tateyama Seaside Hotel
408,Bauchi,NG,74.66,clear sky,10.5,10.0,
409,Ayer Itam,NG,74.66,clear sky,10.5,10.0,
410,Hamilton,US,55.0,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
411,Luau,AO,67.32,overcast clouds,-10.71,22.22,Kimbo Hotel
415,Plainview,US,55.99,clear sky,40.78,-73.47,Holiday Inn Plainview-Long Island
416,Half Moon Bay,US,64.0,broken clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
417,Yaring,TH,79.77,scattered clouds,6.87,101.37,My Home Pokku
418,Grand River South East,TH,79.77,scattered clouds,6.87,101.37,My Home Pokku
419,Kaka,TM,51.89,few clouds,37.35,59.61,
422,Westport,US,54.0,clear sky,41.14,-73.36,The Westport Inn
423,Palmer,US,55.4,broken clouds,42.16,-72.33,Wedgewood Motel
424,Rancho Palos Verdes,US,68.0,scattered clouds,33.74,-118.39,Terranea Resort
425,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
429,Saint-Francois,FR,48.2,overcast clouds,46.42,3.91,Manoir Du Bonheur
430,Louisbourg,FR,48.2,overcast clouds,46.42,3.91,Manoir Du Bonheur
431,Baringo,KE,77.88,scattered clouds,0.47,35.97,Jericho Lodging
432,Samdari,IN,67.93,clear sky,25.82,72.58,Karnoba Ki Dhani
433,Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
439,Midyat,TR,48.2,broken clouds,37.42,41.34,Hotel Kasr-i Nehroz
440,Saleaula,TR,48.2,broken clouds,37.42,41.34,Hotel Kasr-i Nehroz
441,Isangel,VU,73.4,few clouds,-19.55,169.27,Volcano Sea View Tree House
443,Daura,NG,75.72,clear sky,11.55,11.41,
445,Faya,SA,62.6,broken clouds,18.39,42.45,مقبرة ال مجمل
450,Fereydun Kenar,IR,50.0,mist,36.69,52.52,Tourist Hotel
456,Portoferraio,IT,51.01,scattered clouds,42.81,10.31,Hotel Villa Ombrosa
457,Marsh Harbour,BS,68.11,few clouds,26.54,-77.06,Abaco Beach Resort
458,Waipawa,NZ,62.01,scattered clouds,-41.41,175.52,Tora Coastal Walk
460,Saint George,US,57.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn Hotel & Conference Center
462,Da Nang,VN,64.4,mist,16.07,108.22,Grand Mercure Danang
463,Banda Aceh,ID,74.55,clear sky,5.56,95.32,OYO 884 Rumoh PMI Hotel
464,Sur,OM,70.61,clear sky,22.57,59.53,Sur Plaza Hotel
466,Xinzhi,CN,43.25,overcast clouds,36.5,111.7,Mingyue Hotel
468,Bowen,AU,77.0,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
470,Muskogee,US,53.6,overcast clouds,35.58,-95.33,
471,Kotturu,IN,70.32,overcast clouds,14.82,76.22,MYDUR SHANTHAMMA LAYOUT
472,Marzuq,YE,61.81,clear sky,14.4,46.47,
474,Xihe,CN,55.69,broken clouds,31.69,113.47,Xintiandi Business Hotel
476,Wulanhaote,GA,77.14,moderate rain,-1.57,9.26,Hotel Olako
477,Nishihara,JP,60.8,few clouds,26.18,127.76,Minshuku Agaihama
479,Luderitz,,71.46,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
480,Vila,PT,57.99,clear sky,42.03,-8.16,Hotel Castrum Villae
481,Bacolod,PH,73.11,clear sky,10.67,122.95,Planta Hotel & Residences
482,Ceres,US,64.0,clear sky,37.59,-120.96,Howard Johnson by Wyndham Modesto Ceres
483,Hirara,JP,67.53,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
484,Esmeraldas,BR,73.4,broken clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
488,Moron,AR,79.0,clear sky,-34.65,-58.62,Hotel Morón
491,Chuy,UY,71.87,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
492,Kashi,CN,41.0,broken clouds,39.45,75.98,帕米尔青年旅舍
495,Veraval,IN,70.29,clear sky,20.9,70.37,Lords Inn Somnath
496,Sefton,NZ,66.0,clear sky,-43.25,172.67,Ra-ata Farm
497,Mondovi,IT,55.0,mist,44.4,7.82,Park Hotel Mondovì
498,Kazalinsk,IT,55.0,mist,44.4,7.82,Park Hotel Mondovì
500,Ilhabela,BR,76.19,overcast clouds,-23.78,-45.36,Ilha Flat Hotel
501,Lata,PT,62.01,clear sky,40.16,-8.33,Casa Maquia
503,Den Helder,NL,45.0,broken clouds,52.96,4.76,Hotel Den Helder
504,Namangan,UZ,50.0,light intensity shower rain,41.0,71.67,Orzu Hotel
